序号,公开(公告)号,标题,申请日,公开(公告)日,申请人,发明(设计)人,IPC
50.  实用新型  有权,CN207842971U,CN201820252726.8 -  一种移动零食车,2018-02-12,2018-09-11,海底捞控股有限公司,"张昆  , 张笑天  , 冯敏","[B62B3/00, B65F1/00]"
51.  实用新型  有权,CN206443345U,CN201720129985.7 -  餐盒,2017-02-13,2017-08-29,海底捞控股有限公司,"张昆  , 张笑天  , 冯敏  , 砚君  , 陈勇刚  , 夏阳","[A45C11/20, A45C13/00, A45C13/10]"
52.  实用新型  有权,CN210697254U,CN201921169727.7 -  升降器以及升降锅,2019-07-23,2020-06-09,海底捞控股有限公司,"胡杰  , 谢雄  , 戎军","[A47J36/00, A47J27/10, A47J27/18]"
53.  实用新型  有权,CN210520854U,CN201920691357.7 -  火锅锅架及锅具存放装置,2019-05-14,2020-05-15,"海底捞控股有限公司  , 北京和利时智能技术有限公司","王帅  , 王以春  , 刑松松  , 魏晓磊  , 李清华  , 魏君",[A47J47/16]
54.  实用新型  有权,CN210028878U,CN201920691293.0 -  火锅锅具锅型识别装置,2019-05-14,2020-02-07,"海底捞控股有限公司  , 北京和利时智能技术有限公司","朱磊  , 王以春  , 李清华  , 魏君","[B65G15/12, G01N21/84, G01N21/01]"
55.  实用新型  有权,CN210012287U,CN201920691334.6 -  锅具翻转装置,2019-05-14,2020-02-04,"海底捞控股有限公司  , 北京和利时智能技术有限公司","朱磊  , 王以春  , 李清华  , 魏君",[B65G47/248]
56.  实用新型  有权,CN209315802U,CN201821794014.5 -  一种多通道洗碗机网带和洗碗机,2018-11-01,2019-08-30,"海底捞控股有限公司  , 湖南洗唰唰智能洗净设备有限责任公司","陈瑜  , 王盛  , 王以春",[A47L15/42]
57.  实用新型  有权,CN209152156U,CN201821117153.4 -  肉类物品整形机构及肉类物品加工系统,2018-07-13,2019-07-26,"博众精工科技股份有限公司  , 海底捞控股有限公司","母国栋  , 李刚  , 胡通  , 朱可  , 黄治国","[A22C17/00, A22C7/00]"
58.  实用新型  有权,CN208863992U,CN201821116644.7 -  一种盘子及用于盛放卷状食品的容器,2018-07-13,2019-05-17,"博众精工科技股份有限公司  , 海底捞控股有限公司","母国栋  , 李刚  , 胡通  , 朱可  , 黄治国",[A47G19/02]
59.  实用新型  有权,CN208732037U,CN201821099674.1 -  自动上托盘装置,2018-07-11,2019-04-12,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实",[B65G47/74]
60.  实用新型  有权,CN208727420U,CN201821099642.1 -  一种红白锅底配料装置,2018-07-11,2019-04-12,海底捞控股有限公司,郑天威,"[B01F15/04, B01F15/02, B01F13/00]"
61.  实用新型  有权,CN208695921U,CN201821081246.6 -  一种餐厨垃圾处理装置,2018-07-09,2019-04-05,"海底捞控股有限公司  , 陕西大明机械制造有限公司","刘朋立  , 刘惠敏  , 李刚","[B09B3/00, B09B5/00]"
62.  实用新型  有权,CN208683659U,CN201821099672.2 -  一种应用在自动酒水库上的提升装置,2018-07-11,2019-04-02,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实",[B65G1/10]
63.  实用新型  有权,CN208683646U,CN201821094274.1 -  一种储存库壳体及具有该壳体的储存库,2018-07-11,2019-04-02,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实",[B65G1/04]
64.  实用新型  有权,CN208681610U,CN201821094219.2 -  一种自动取锅机器人,2018-07-11,2019-04-02,海底捞控股有限公司,郑天威,[B25J11/00]
65.  实用新型  有权,CN208681574U,CN201821099673.7 -  双头式机械臂,2018-07-11,2019-04-02,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实","[B25J5/02, B25J15/08]"
66.  实用新型  有权,CN208645447U,CN201821192314.6 -  具有闸板压料装置的切片机,2018-07-25,2019-03-26,"海底捞控股有限公司  , 滨州鸿瑞祥工贸有限公司","刘云江  , 王挺  , 阮向朋","[B26D1/09, B26D5/18, B26D7/02, B26D7/26, B26D7/06, B26D7/30, B26D5/00, B26D7/00]"
67.  实用新型  有权,CN208625622U,CN201820554906.1 -  火锅盆清洗装置,2018-04-18,2019-03-22,"海底捞控股有限公司  , 湖南洗唰唰智能洗净设备有限责任公司","陈瑜  , 王盛  , 王以春","[A47L15/18, A47L15/20, A47L15/42]"
68.  实用新型  有权,CN208470977U,CN201821089861.1 -  运输机构,2018-07-10,2019-02-05,"博众精工科技股份有限公司  , 海底捞控股有限公司","母国栋  , 李刚  , 胡通  , 朱可  , 黄治国","[B65G47/82, B65G47/24]"
69.  实用新型  有权,CN208274451U,CN201721283705.4 -  一种水壶,2017-09-30,2018-12-25,海底捞控股有限公司,"张昆  , 张笑天  , 冯敏",[A47G19/12]
70.  实用新型  有权,CN207843606U,CN201820252466.4 -  一种杯筐,2018-02-12,2018-09-11,海底捞控股有限公司,"张昆  , 张笑天  , 冯敏",[B65D6/04]
71.  实用新型  失效,CN204464689U,CN201520095238.7 -  多功能插座,2015-02-10,2015-07-08,海底捞控股有限公司,"江吉涛  , 史晓明  , 葛昊泉  , 砚君  , 吴小双  , 田萌","[H01R27/00, H01R13/72, H01R13/66, H01R13/502]"
